FIPS,State,County,Life Expectancy,number Deaths,Age-Adjusted Death Rate,number Deaths,Child Mortality Rate,number Deaths,Infant Mortality Rate,percent Frequent Physical Distress,percent Frequent Mental Distress,percent Adults with Diabetes,number HIV Cases,HIV Prevalence Rate,number Food Insecure,percent Food Insecure,number Limited Access to Healthy Foods,percent Limited Access to Healthy Foods,number Drug Overdose Deaths,Drug Overdose Mortality Rate,percent Insufficient Sleep,95percent CI - Low,95percent CI - High,number Uninsured Adults,percent Uninsured Adults,95percent CI - Low,95percent CI - High,number Uninsured Children,percent Uninsured Children,95percent CI - Low,95percent CI - High,Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,percent Disconnected Youth,95percent CI - Low,95percent CI - High,Average Grade Performance,Average Grade Performance (Asian),Average Grade Performance (Black),Average Grade Performance (Hispanic),Average Grade Performance (White),Average Grade Performance,Average Grade Performance (Asian),Average Grade Performance (Black),Average Grade Performance (Hispanic),Average Grade Performance (White),Segregation Index,Spending per Pupil,School Funding Adequacy,Women's Median Earnings,Men's Median Earnings,Gender Pay Gap,95percent CI - Low,95percent CI - High,Median Household Income,95percent CI - Low,95percent CI - High,percent Enrolled in Free or Reduced Lunch,Segregation Index,percent Household Income Required for Child Care Expenses,number Child Care Centers,"Child Care Centers per 1,000 Children",Homicide Rate,95percent CI - Low,95percent CI - High,number Deaths,Suicide Rate (Age-Adjusted),95percent CI - Low,95percent CI - High,Crude Rate,number Firearm Fatalities,Firearm Fatalities Rate,95percent CI - Low,95percent CI - High,number Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95percent CI - Low,95percent CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,percent Voter Turnout,percent Census Participation,Traffic Volume,number Homeowners,percent Homeowners,95percent CI - Low,95percent CI - High,number Households with Severe Cost Burden,percent Households with Severe Cost Burden,95percent CI - Low,95percent CI - High,percent Households with Broadband Access,number Households with Broadband Access,95percent CI - Low,95percent CI - High,Population,percent Less than 18 Years of Age,percent 65 and Over,number Black,percent Black,number American Indian or Alaska Native,percent American Indian or Alaska Native,number Asian,percent Asian,number Native Hawaiian or Other Pacific Islander,percent Native Hawaiian or Other Pacific Islander,number Hispanic,percent Hispanic,number Non-Hispanic White,percent Non-Hispanic White,number Not Proficient in English,percent Not Proficient in English,95percent CI - Low,95percent CI - High,percent Female,number Rural Residents,percent Rural,
01001,Alabama,Autauga,76.6,836,427,27,51,30,7,11,16,11,114,243,8070,15,7106,13,14,8,38,36,39,4434,13,11,15,514,4,3,5,47,2111:1,676,87,,,,3.1,,2.6,,3.3,2.9,,2.4,2.9,3.1,0.05,8675,-2077,37338,54547,0.68,0.56,0.81,66444,58839,74049,41,33,20,19,6,6,4,9,52,18,13,23,19,49,18,13,23,74,19,15,24,5,45,6200,8,66.2,68.8,152,16227,74,72,77,2662,13,10,16,85,18679,84,87,59095,23.4,16.0,12251,20.7,271,0.5,711,1.2,70,0.1,1966,3.3,42817,72.5,127,0,0,1,51.4,22921,42.0,
01003,Alabama,Baldwin,77.7,3377,382,97,51,84,5,10,16,10,344,176,27070,12,14466,8,118,18,35,33,37,17707,14,12,16,1897,4,3,5,74,1344:1,2333,88,8,5,11,3.2,,2.6,2.7,3.4,3.0,,2.3,2.7,3.2,0.09,10702,343,41155,55549,0.74,0.69,0.79,65658,59778,71538,46,38,21,75,6,3,2,4,214,20,17,22,20,153,14,12,16,252,17,15,19,181,399,22400,26,65.3,56.4,133,67242,77,76,78,9224,11,10,12,88,76602,87,89,239294,21.2,21.5,20024,8.4,1915,0.8,2686,1.1,164,0.1,11586,4.8,198970,83.1,1634,1,1,1,51.3,77060,42.3,
01005,Alabama,Barbour,72.9,539,590,17,83,,,15,18,16,96,457,4870,20,2865,10,,,44,43,45,2169,19,16,22,183,4,2,5,60,1664:1,331,85,,,,2.4,,2.1,2.1,2.8,2.0,,1.8,1.9,2.4,0.03,8966,-13560,31644,42995,0.74,0.63,0.85,38649,33477,43821,59,21,28,7,5,11,7,17,20,14,8,23,16,32,26,17,36,50,28,21,37,5,52,2400,24,54.0,54.5,100,5654,62,59,65,853,10,8,13,65,5872,61,68,24964,20.5,20.0,11832,47.4,181,0.7,115,0.5,58,0.2,1238,5.0,11310,45.3,331,1,1,2,46.7,18613,67.8,
01007,Alabama,Bibb,73.6,460,568,15,82,,,13,17,12,41,216,3680,16,102,0,16,24,40,39,41,1937,16,14,19,172,4,2,5,147,681:1,233,85,,,,2.7,,2.2,,2.8,2.6,,2.2,,2.7,0.09,10203,-2660,37816,45838,0.82,0.59,1.06,48454,41286,55622,48,41,26,6,5,10,5,16,18,17,10,28,16,20,18,11,28,41,26,19,35,1-4,68,2100,,54.6,56.0,28,5580,79,73,84,639,9,5,13,75,5284,70,80,22477,20.1,16.7,4794,21.3,113,0.5,62,0.3,29,0.1,694,3.1,16535,73.6,94,0,0,1,46.0,15663,68.4,
01009,Alabama,Blount,74.2,1143,533,38,71,31,7,12,17,11,37,76,7980,14,1440,3,31,18,37,36,39,5607,17,14,19,606,4,3,6,34,2952:1,657,95,11,6,16,2.9,,,2.6,3.0,2.8,,,2.5,2.8,0.11,9228,-889,40210,46656,0.86,0.76,0.96,56894,51816,61972,51,55,24,17,5,7,5,10,61,21,16,27,21,59,20,16,26,124,31,25,36,12,28,6200,6,64.2,66.7,44,16865,79,76,82,1659,8,6,10,81,17244,79,83,59041,23.1,18.7,964,1.6,390,0.7,238,0.4,73,0.1,5826,9.9,50970,86.3,957,2,1,2,50.2,51562,90.0,
01011,Alabama,Bullock,73.8,203,556,,,,,15,18,18,54,638,1620,16,3529,32,,,46,45,47,730,16,13,19,56,3,2,4,68,1474:1,79,83,,,,2.1,,,,,2.0,,,,,0.01,10369,-15767,24186,35845,0.67,0.52,0.83,32027,27385,36669,76,33,42,3,5,15,8,27,,,,,,13,26,14,44,36,50,35,69,0,11,900,12,59.1,48.8,43,2220,65,58,72,555,19,11,26,59,2032,49,70,10320,21.3,17.6,7042,68.2,97,0.9,31,0.3,79,0.8,936,9.1,2197,21.3,130,1,0,3,44.6,5607,51.4,
01013,Alabama,Butler,73.5,441,607,14,80,,,13,18,14,56,340,3210,16,1449,7,,,41,40,42,1841,17,14,20,158,4,2,5,95,1049:1,206,84,,,,2.5,,2.3,,3.0,2.1,,1.9,,2.6,0.11,9564,-9256,32166,38829,0.83,0.61,1.04,39442,34118,44766,79,27,34,5,5,19,13,28,13,14,7,24,13,26,26,17,39,53,38,29,50,1-4,37,2000,,62.9,55.8,59,4728,72,70,75,528,9,6,12,76,4986,72,80,18884,22.6,21.2,8435,44.7,82,0.4,269,1.4,8,0.0,327,1.7,9560,50.6,12,0,0,1,53.4,14921,71.2,
01015,Alabama,Calhoun,72.8,2476,587,57,58,71,8,12,17,12,245,255,18430,16,18258,15,66,19,38,37,40,10729,16,14,19,777,3,2,4,83,1208:1,1265,91,8,5,12,2.9,,2.5,2.6,3.2,2.8,,2.4,2.6,3.0,0.20,10213,-4113,37518,49496,0.76,0.70,0.82,48166,42581,53751,57,45,22,37,6,10,8,13,126,22,18,25,22,149,26,22,30,176,22,19,25,153,212,11500,32,57.9,63.6,154,31441,71,69,73,4803,11,10,13,82,36131,80,84,115972,21.7,18.5,24706,21.3,623,0.5,1016,0.9,128,0.1,4915,4.2,82472,71.1,709,1,0,1,51.6,39955,33.7,
01017,Alabama,Chambers,73.8,686,531,24,86,24,9,13,18,13,110,393,5040,15,2772,8,10,10,43,42,45,3076,16,14,19,263,4,2,6,20,4934:1,311,88,15,7,24,2.6,,2.4,2.1,3.1,2.5,,2.2,2.1,2.9,0.16,9973,-11973,34243,43576,0.79,0.69,0.88,45447,39826,51068,72,31,32,12,6,11,7,16,45,27,19,36,27,45,27,20,36,59,25,19,32,0,81,3100,26,58.5,58.3,106,9089,69,67,71,1218,10,7,12,77,10122,74,80,34541,20.7,20.3,13849,40.1,134,0.4,326,0.9,19,0.1,1009,2.9,18879,54.7,66,0,0,1,52.1,16816,49.1,
01019,Alabama,Cherokee,74.0,600,543,13,65,,,12,18,11,32,140,3700,14,1302,5,14,18,38,37,40,2338,16,13,18,203,4,3,5,88,1136:1,298,90,12,4,20,2.8,,,,,2.6,,,,,0.06,10628,81,40679,47465,0.86,0.65,1.06,46365,40659,52071,55,42,21,6,6,8,5,14,30,23,15,34,23,33,25,17,36,58,32,24,41,6,30,2400,15,59.5,45.7,1,7607,78,75,82,746,8,6,11,77,7431,73,81,24996,18.9,24.0,1028,4.1,203,0.8,133,0.5,7,0.0,482,1.9,22764,91.1,300,1,0,2,50.2,22282,85.7,
